il,ilce,Bölge,ilkod,ilcekod,il_ilce
AKSARAY,SARIYAHŞİ,İÇ ANADOLU,TUR068,TUR068007,"AKSARAY, SARIYAHŞİ"
AKSARAY,SULTANHANI,İÇ ANADOLU,TUR068,TUR068008,"AKSARAY, SULTANHANI"
AMASYA,GÖYNÜCEK,KARADENİZ,TUR005,TUR005002,"AMASYA, GÖYNÜCEK"
AMASYA,GÜMÜŞHACIKÖY,KARADENİZ,TUR005,TUR005003,"AMASYA, GÜMÜŞHACIKÖY"
AMASYA,HAMAMÖZÜ,KARADENİZ,TUR005,TUR005004,"AMASYA, HAMAMÖZÜ"
AMASYA,AMASYA,KARADENİZ,TUR005,TUR005001,"AMASYA, AMASYA"
AMASYA,MERZİFON,KARADENİZ,TUR005,TUR005005,"AMASYA, MERZİFON"
AMASYA,SULUOVA,KARADENİZ,TUR005,TUR005006,"AMASYA, SULUOVA"
AMASYA,TAŞOVA,KARADENİZ,TUR005,TUR005007,"AMASYA, TAŞOVA"
ANKARA,AKYURT,İÇ ANADOLU,TUR006,TUR006001,"ANKARA, AKYURT"
ANKARA,ALTINDAĞ,İÇ ANADOLU,TUR006,TUR006002,"ANKARA, ALTINDAĞ"
ANKARA,AYAŞ,İÇ ANADOLU,TUR006,TUR006003,"ANKARA, AYAŞ"
ANKARA,BALA,İÇ ANADOLU,TUR006,TUR006004,"ANKARA, BALA"
ANKARA,BEYPAZARI,İÇ ANADOLU,TUR006,TUR006005,"ANKARA, BEYPAZARI"
ANKARA,ÇAMLIDERE,İÇ ANADOLU,TUR006,TUR006006,"ANKARA, ÇAMLIDERE"
ANKARA,ÇANKAYA,İÇ ANADOLU,TUR006,TUR006007,"ANKARA, ÇANKAYA"
ANKARA,ÇUBUK,İÇ ANADOLU,TUR006,TUR006008,"ANKARA, ÇUBUK"
ANKARA,ELMADAĞ,İÇ ANADOLU,TUR006,TUR006009,"ANKARA, ELMADAĞ"
ANKARA,ETİMESGUT,İÇ ANADOLU,TUR006,TUR006010,"ANKARA, ETİMESGUT"
ANKARA,EVREN,İÇ ANADOLU,TUR006,TUR006011,"ANKARA, EVREN"
ANKARA,GÖLBAŞI,İÇ ANADOLU,TUR006,TUR006012,"ANKARA, GÖLBAŞI"
ANKARA,GÜDÜL,İÇ ANADOLU,TUR006,TUR006013,"ANKARA, GÜDÜL"
ANKARA,HAYMANA,İÇ ANADOLU,TUR006,TUR006014,"ANKARA, HAYMANA"
ANKARA,KAHRAMANKAZAN,İÇ ANADOLU,TUR006,TUR006015,"ANKARA, KAHRAMANKAZAN"
ANKARA,KALECİK,İÇ ANADOLU,TUR006,TUR006016,"ANKARA, KALECİK"
ANKARA,KEÇİÖREN,İÇ ANADOLU,TUR006,TUR006017,"ANKARA, KEÇİÖREN"
ANKARA,KIZILCAHAMAM,İÇ ANADOLU,TUR006,TUR006018,"ANKARA, KIZILCAHAMAM"
ANKARA,MAMAK,İÇ ANADOLU,TUR006,TUR006019,"ANKARA, MAMAK"
ANKARA,NALLIHAN,İÇ ANADOLU,TUR006,TUR006020,"ANKARA, NALLIHAN"
ANKARA,POLATLI,İÇ ANADOLU,TUR006,TUR006021,"ANKARA, POLATLI"
ANKARA,PURSAKLAR,İÇ ANADOLU,TUR006,TUR006022,"ANKARA, PURSAKLAR"
ANKARA,ŞEREFLİKOÇHİSAR,İÇ ANADOLU,TUR006,TUR006024,"ANKARA, ŞEREFLİKOÇHİSAR"
ANKARA,SİNCAN,İÇ ANADOLU,TUR006,TUR006023,"ANKARA, SİNCAN"
ANKARA,YENİMAHALLE,İÇ ANADOLU,TUR006,TUR006025,"ANKARA, YENİMAHALLE"
ANTALYA,AKSEKİ,AKDENİZ,TUR007,TUR007001,"ANTALYA, AKSEKİ"
ANTALYA,AKSU,AKDENİZ,TUR007,TUR007002,"ANTALYA, AKSU"
ANTALYA,ALANYA,AKDENİZ,TUR007,TUR007003,"ANTALYA, ALANYA"
ANTALYA,DEMRE,AKDENİZ,TUR007,TUR007004,"ANTALYA, DEMRE"
ANTALYA,DÖŞEMEALTI,AKDENİZ,TUR007,TUR007005,"ANTALYA, DÖŞEMEALTI"
ANTALYA,ELMALI,AKDENİZ,TUR007,TUR007006,"ANTALYA, ELMALI"
ANTALYA,FİNİKE,AKDENİZ,TUR007,TUR007007,"ANTALYA, FİNİKE"
ANTALYA,GAZİPAŞA,AKDENİZ,TUR007,TUR007008,"ANTALYA, GAZİPAŞA"
ANTALYA,GÜNDOĞMUŞ,AKDENİZ,TUR007,TUR007009,"ANTALYA, GÜNDOĞMUŞ"
ANTALYA,İBRADI,AKDENİZ,TUR007,TUR007010,"ANTALYA, İBRADI"
ANTALYA,KAŞ,AKDENİZ,TUR007,TUR007011,"ANTALYA, KAŞ"
ANTALYA,KEMER,AKDENİZ,TUR007,TUR007012,"ANTALYA, KEMER"
ANTALYA,KEPEZ,AKDENİZ,TUR007,TUR007013,"ANTALYA, KEPEZ"
ANTALYA,KONYAALTI,AKDENİZ,TUR007,TUR007014,"ANTALYA, KONYAALTI"
ANTALYA,KORKUTELİ,AKDENİZ,TUR007,TUR007015,"ANTALYA, KORKUTELİ"
ANTALYA,KUMLUCA,AKDENİZ,TUR007,TUR007016,"ANTALYA, KUMLUCA"
ANTALYA,MANAVGAT,AKDENİZ,TUR007,TUR007017,"ANTALYA, MANAVGAT"
ANTALYA,MURATPAŞA,AKDENİZ,TUR007,TUR007018,"ANTALYA, MURATPAŞA"
ANTALYA,SERİK,AKDENİZ,TUR007,TUR007019,"ANTALYA, SERİK"
ARDAHAN,ÇILDIR,DOĞU ANADOLU,TUR075,TUR075002,"ARDAHAN, ÇILDIR"
ARDAHAN,DAMAL,DOĞU ANADOLU,TUR075,TUR075003,"ARDAHAN, DAMAL"
ARDAHAN,GÖLE,DOĞU ANADOLU,TUR075,TUR075004,"ARDAHAN, GÖLE"
ARDAHAN,HANAK,DOĞU ANADOLU,TUR075,TUR075005,"ARDAHAN, HANAK"
ARDAHAN,ARDAHAN,DOĞU ANADOLU,TUR075,TUR075001,"ARDAHAN, ARDAHAN"
ARDAHAN,POSOF,DOĞU ANADOLU,TUR075,TUR075006,"ARDAHAN, POSOF"
ARTVİN,ARDANUÇ,KARADENİZ,TUR008,TUR008001,"ARTVİN, ARDANUÇ"
ARTVİN,ARHAVİ,KARADENİZ,TUR008,TUR008002,"ARTVİN, ARHAVİ"
ARTVİN,BORÇKA,KARADENİZ,TUR008,TUR008004,"ARTVİN, BORÇKA"
ARTVİN,HOPA,KARADENİZ,TUR008,TUR008005,"ARTVİN, HOPA"
ARTVİN,KEMALPAŞA,KARADENİZ,TUR008,TUR008006,"ARTVİN, KEMALPAŞA"
ARTVİN,ARTVİN,KARADENİZ,TUR008,TUR008003,"ARTVİN, ARTVİN"
ARTVİN,MURGUL,KARADENİZ,TUR008,TUR008007,"ARTVİN, MURGUL"
ARTVİN,ŞAVŞAT,KARADENİZ,TUR008,TUR008008,"ARTVİN, ŞAVŞAT"
ARTVİN,YUSUFELİ,KARADENİZ,TUR008,TUR008009,"ARTVİN, YUSUFELİ"
AYDIN,BOZDOĞAN,EGE,TUR009,TUR009001,"AYDIN, BOZDOĞAN"
AYDIN,BUHARKENT,EGE,TUR009,TUR009002,"AYDIN, BUHARKENT"
AYDIN,ÇİNE,EGE,TUR009,TUR009003,"AYDIN, ÇİNE"
AYDIN,DİDİM,EGE,TUR009,TUR009004,"AYDIN, DİDİM"
AYDIN,EFELER,EGE,TUR009,TUR009005,"AYDIN, EFELER"
AYDIN,GERMENCİK,EGE,TUR009,TUR009006,"AYDIN, GERMENCİK"
AYDIN,İNCİRLİOVA,EGE,TUR009,TUR009007,"AYDIN, İNCİRLİOVA"
AYDIN,KARACASU,EGE,TUR009,TUR009008,"AYDIN, KARACASU"
AYDIN,KARPUZLU,EGE,TUR009,TUR009009,"AYDIN, KARPUZLU"
AYDIN,KOÇARLI,EGE,TUR009,TUR009010,"AYDIN, KOÇARLI"
AYDIN,KÖŞK,EGE,TUR009,TUR009011,"AYDIN, KÖŞK"
AYDIN,KUŞADASI,EGE,TUR009,TUR009012,"AYDIN, KUŞADASI"
AYDIN,KUYUCAK,EGE,TUR009,TUR009013,"AYDIN, KUYUCAK"
AYDIN,NAZİLLİ,EGE,TUR009,TUR009014,"AYDIN, NAZİLLİ"
AYDIN,SÖKE,EGE,TUR009,TUR009015,"AYDIN, SÖKE"
AYDIN,SULTANHİSAR,EGE,TUR009,TUR009016,"AYDIN, SULTANHİSAR"
AYDIN,YENİPAZAR,EGE,TUR009,TUR009017,"AYDIN, YENİPAZAR"
BALIKESİR,ALTIEYLÜL,MARMARA,TUR010,TUR010001,"BALIKESİR, ALTIEYLÜL"
BALIKESİR,AYVALIK,MARMARA,TUR010,TUR010002,"BALIKESİR, AYVALIK"
BALIKESİR,BALYA,MARMARA,TUR010,TUR010003,"BALIKESİR, BALYA"
BALIKESİR,BANDIRMA,MARMARA,TUR010,TUR010004,"BALIKESİR, BANDIRMA"
BALIKESİR,BİGADİÇ,MARMARA,TUR010,TUR010005,"BALIKESİR, BİGADİÇ"
BALIKESİR,BURHANİYE,MARMARA,TUR010,TUR010006,"BALIKESİR, BURHANİYE"
BALIKESİR,DURSUNBEY,MARMARA,TUR010,TUR010007,"BALIKESİR, DURSUNBEY"
BALIKESİR,EDREMİT,MARMARA,TUR010,TUR010008,"BALIKESİR, EDREMİT"
BALIKESİR,ERDEK,MARMARA,TUR010,TUR010009,"BALIKESİR, ERDEK"
BALIKESİR,GÖMEÇ,MARMARA,TUR010,TUR010010,"BALIKESİR, GÖMEÇ"
BALIKESİR,GÖNEN,MARMARA,TUR010,TUR010011,"BALIKESİR, GÖNEN"
BALIKESİR,HAVRAN,MARMARA,TUR010,TUR010012,"BALIKESİR, HAVRAN"
BALIKESİR,İVRİNDİ,MARMARA,TUR010,TUR010013,"BALIKESİR, İVRİNDİ"
BALIKESİR,KARESİ,MARMARA,TUR010,TUR010014,"BALIKESİR, KARESİ"
BALIKESİR,KEPSUT,MARMARA,TUR010,TUR010015,"BALIKESİR, KEPSUT"
BALIKESİR,MANYAS,MARMARA,TUR010,TUR010016,"BALIKESİR, MANYAS"
BALIKESİR,MARMARA,MARMARA,TUR010,TUR010017,"BALIKESİR, MARMARA"
BALIKESİR,SAVAŞTEPE,MARMARA,TUR010,TUR010018,"BALIKESİR, SAVAŞTEPE"
BALIKESİR,SINDIRGI,MARMARA,TUR010,TUR010019,"BALIKESİR, SINDIRGI"
BALIKESİR,SUSURLUK,MARMARA,TUR010,TUR010020,"BALIKESİR, SUSURLUK"
BARTIN,AMASRA,KARADENİZ,TUR074,TUR074001,"BARTIN, AMASRA"
BARTIN,KURUCAŞİLE,KARADENİZ,TUR074,TUR074003,"BARTIN, KURUCAŞİLE"
BARTIN,BARTIN,KARADENİZ,TUR074,TUR074002,"BARTIN, BARTIN"
BARTIN,ULUS,KARADENİZ,TUR074,TUR074004,"BARTIN, ULUS"
BATMAN,BEŞİRİ,GÜNEYDOĞU ANADOLU,TUR072,TUR072002,"BATMAN, BEŞİRİ"
BATMAN,GERCÜŞ,GÜNEYDOĞU ANADOLU,TUR072,TUR072003,"BATMAN, GERCÜŞ"
BATMAN,HASANKEYF,GÜNEYDOĞU ANADOLU,TUR072,TUR072004,"BATMAN, HASANKEYF"
BATMAN,KOZLUK,GÜNEYDOĞU ANADOLU,TUR072,TUR072005,"BATMAN, KOZLUK"
BATMAN,BATMAN,GÜNEYDOĞU ANADOLU,TUR072,TUR072001,"BATMAN, BATMAN"
BATMAN,SASON,GÜNEYDOĞU ANADOLU,TUR072,TUR072006,"BATMAN, SASON"
BAYBURT,AYDINTEPE,KARADENİZ,TUR069,TUR069001,"BAYBURT, AYDINTEPE"
BAYBURT,DEMİRÖZÜ,KARADENİZ,TUR069,TUR069003,"BAYBURT, DEMİRÖZÜ"
BAYBURT,BAYBURT,KARADENİZ,TUR069,TUR069002,"BAYBURT, BAYBURT"
BİLECİK,BOZÜYÜK,MARMARA,TUR011,TUR011002,"BİLECİK, BOZÜYÜK"
